Station;StartedTrips
Hochelaga / Chapleau;9578
16e avenue / Beaubien;9553
Henri-Julien / de Bellechasse;9546
Wellington / Hickson;9535
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle);9530
Sherbrooke / Frontenac;9505
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);9295
de Bordeaux / Jean-Talon;9287
Argyle / de Verdun;9276
de Castelnau / Lajeunesse;9203
Wolfe / René-Lévesque;9200
Sanguinet / Ste-Catherine;9195
Chabanel / du Parc;9165
Hillside / Ste-Catherine;9117
du Parc-Lafontaine / Rachel;9087
Fortune / Wellington;9078
Drolet / Gounod;9066
Louis-Hémon / Jean-Talon;9062
Dollard / Bernard;9041
Stanley / Sherbrooke;9006
de Monkland / Girouard;9001
Place du Commerce;8944
Grand Boulevard / Sherbrooke;8940
Rivier / Davidson;8930
St-Dominique / Gounod;8875
St-Jacques / des Seigneurs;8872
Métro St-Michel (Shaughnessy / St-Michel);8854
Métro Villa-Maria (de Monkland / Décarie);8839
Guizot / St-Denis;8800
3e avenue / Holt;8790
Casgrain / Mozart;8788
de Maisonneuve / Aylmer (est);8784
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);8714
Atwater / Sherbrooke;8686
Lajeunesse / de Liège;8686
des Soeurs-Grises / Marguerite-d'Youville;8679
Wellington / 2e avenue;8672
Parc du Pélican (2e avenue / St-Joseph);8632
Rose-de-Lima / Workman;8595
Viger / Chenneville;8587
de la Cathédrale / René-Lévesque;8576
St-Marc / Sherbrooke;8564
Jeanne-Mance / Beaubien;8517
Marché Jean-Talon (Casgrain / Shamrock);8511
de la Gauchetière / Robert-Bourassa;8504
Letourneux / Ste-Catherine;8490
Letourneux / Ste-Catherine;8490
Earnscliffe / Queen-Mary;8459
St-Hubert / St-Joseph;8457
du Champ-de-Mars / Gosford;8455
St-André / Robin;8431
Drolet / Jarry;8386
5e avenue / Rosemont;8363
Harvard / de Monkland;8334
Messier / St-Joseph;8322
10e avenue / Holt;8315
de Gaspé / Jarry;8188
2e avenue / Wellington;8183
Hickson / Wellington;8057
26e avenue / Beaubien;8027
de la Roche / Everett;7963
Papineau / René-Lévesque;7962
Hutchison / Beaubien;7950
12e avenue / St-Zotique;7946
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);7903
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);7903
Lucien L'Allier / St-Jacques;7880
Notre-Dame / St-Gabriel;7865
St-Ambroise / Louis-Cyr;7849
Centre ÉPIC (St-Zotique / 40e avenue);7837
Casgrain / St-Viateur;7767
Clark / de Liège;7735
de Gaspé / de Liège;7698
Natatorium (LaSalle / Rolland);7692
Bloomfield / Jean-Talon;7679
Shearer / Centre;7611
Métro Acadie (de l'Acadie / Beaumont);7600
Charlevoix / Lionel-Groulx;7579
La Tour de Montréal (Pierre-de-Coubertin / Bennett);7559
Rachel / du Parc-Lafontaine;7554
LaSalle / Godin;7530
du Président-Kennedy / Jeanne-Mance;7511
Bourget / St-Jacques;7453
Hogan / Ontario;7428
St-Antoine / St-François-Xavier;7400
Parc Labelle (LaSalle / Henri-Duhamel);7391
Parc Labelle (LaSalle / Henri-Duhamel);7391
de Melrose / Sherbrooke;7344
29e avenue / St-Zotique;7343
Ste-Catherine / Parthenais;7342
Ste-Catherine / Parthenais;7342
1ère  avenue / St-Zotique;7319
Logan / d'Iberville;7310
Gilford / des Érables;7305
de la Montagne / Sherbrooke;7233
St-Hubert /de Maisonneuve;7228
St-Maurice / Robert-Bourassa;7225
Wellington / Gordon;7223
Wellington / Gordon;7223
Fullum / Terrasse Mercure;7220
Chambord/ Beaubien;7198
Chambord/ Beaubien;7198
Métro Fabre (Marquette / Jean-Talon);7182
Métro Fabre (Marquette / Jean-Talon);7182
Waverly / Van Horne;7182
Parc Villeray (Christophe-Colomb / Jarry);7142
d'Outremont / Ogilvy;7063
Ann / Wellington;7047
de la Côte St-Antoine / Royal;7038
Métro Jolicoeur (de Sève / Drake);7020
Ernest-Gendreau / du Mont-Royal;7001
Durocher / Beaumont;6988
Durocher / Beaumont;6988
de Laprairie / Centre;6954
Plessis / Logan;6898
Louis-Hébert / Bélanger;6892
Union / Ste-Catherine;6841
Union / Ste-Catherine;6841
Desjardins / Ontario;6814
de Gaspé / Marmier;6762
Drummond / Sherbrooke;6758
Louis-Hébert / St-Zotique;6733
Chabot / Villeray;6658
5e avenue / Bannantyne;6655
Du Quesne / Pierre-de-Coubertin;6651
Georges-Vanier / Notre-Dame;6613
CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);6471
CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);6471
Grand Trunk / d'Hibernia;6419
Beaucourt / de la Côte-Ste-Catherine;6403
Berri / Duluth;6332
St-Zotique / Clark;6313
Quesnel / Vinet;6304
de la Côte St-Antoine / Argyle;6295
de l'Hôtel-de-Ville / Ontario;6196
St-Denis / Ste-Catherine;6173
St-Denis / Ste-Catherine;6173
Chambord / Beaubien;6095
des Érables / Dandurand;6027
des Érables / Bélanger;6016
35e avenue / Beaubien;6009
Parc de Dieppe;6008
Parc de Dieppe;6008
Henri-Julien / Duluth;5981
Henri-Julien / Duluth;5981
Hutchison / Van Horne;5981
Parc de la Confédération (Fielding / West Hill);5977
Parc de la Confédération (Fielding / West Hill);5977
Métro Laurier (Bibaud / Rivard);5974
Métro Laurier (Bibaud / Rivard);5974
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);5945
Parc Howard (de l'Épée / de Liège);5925
Parc Tino-Rossi (18e avenue / Everett);5921
Parc Tino-Rossi (18e avenue / Everett);5921
Canning / Notre-Dame;5909
Parc Lalancette (de Rouen/ Valois);5809
Parc Lalancette (de Rouen/ Valois);5809
Grand Boulevard / de Terrebonne;5775
Métro Plamondon (de Kent / Victoria);5719
Métro Plamondon (de Kent / Victoria);5719
Davaar / de la Côte-Ste-Catherine;5683
Duluth /St-Denis;5568
Duluth /St-Denis;5568
Paré / Mountain Sights;5504
Lionel-Groulx / George-Vanier;5347
Bourbonnière / du Mont-Royal;5304
Métro Radisson (Sherbrooke / des Groseilliers);5230
Ellendale / de la Côte-des-Neiges;5208
Notre-Dame / Gauvin;5112
Métro Laurier (Berri / Laurier);5078
Métro Laurier (Berri / Laurier);5078
Métro Longueuil - Université de Sherbrooke;5049
HEC (Decelles / Jean-Brillant);4987
Kirkfield / de Chambois;4985
Chabanel / de l'Esplanade;4982
Graham / Brookfield;4901
de Rouen / Lespérance;4862
27e avenue / Rosemont;4840
27e avenue / Rosemont;4840
St-Rémi / Ste Émilie;4826
St-Rémi / Ste Émilie;4826
Palm / St-Rémi;4808
Parc Henri-Julien (Legendre / Henri-Julien);4797
LaSalle / Crawford;4789
Parc St-Henri (Laporte / Guay);4781
6e avenue / Bélanger;4779
Monsabré / Boileau;4746
Monsabré / Boileau;4746
de Hampton / de Monkland;4721
McLynn / Plamondon;4705
Parc riverain de Lachine (des Iroquois);4704
Brittany / Ainsley;4702
Graham / Wicksteed;4681
Ball / Querbes;4624
Berlioz / de l'Île des Soeurs;4611
Bloomfield / Ball;4590
Bloomfield / Ball;4590
Bennett / Adam;4589
Parc Joyce (Rockland / Lajoie);4585
Lacombe / Victoria;4578
Elgar / de l'Île-des-Sœurs;4573
Ann / Ottawa;4510
Ann / Ottawa;4510
Graham / Kindersley;4498
McCulloch / de la Côte Ste-Catherine;4418
McCulloch / de la Côte Ste-Catherine;4418
Jacques-Le Ber / de la Pointe Nord;4369
de la Peltrie / de la Côte-des-Neiges;4345
de la Peltrie / de la Côte-des-Neiges;4345
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);4337
Guy / Sainte-Catherine;4336
Guy / Sainte-Catherine;4336
Parc Plage;4322
de la Salle / Hochelaga;4321
Parc MacDonald (Clanranald / Isabella);4312
Parc MacDonald (Clanranald / Isabella);4312
41e avenue / Rosemont;4262
d'Orléans / du Mont-Royal;4257
d'Orléans / du Mont-Royal;4257
des Ormeaux / Notre-Dame;4218
Notre-Dame-de-Grâce / Décarie;4211
de Chateaubriand / Leman;4203
Gagne / LaSalle;4193
Chambord / Jean-Talon;4160
Leman / de Chateaubriand;4141
Duluth / St-Denis;4084
Papineau / Émile-Journault;4078
Pratt / Bates;4041
Pratt / Bates;4041
Bishop / René-Lévesque;3998
Quai de la navette fluviale;3990
Gare Bois-de-Boulogne;3925
Dorion / Gauthier;3863
Dorion / Gauthier;3863
Bélanger / des Galeries d'Anjou;3793
La Ronde;3750
Newman / Senkus;3733
St-Viateur / Casgrain;3703
St-Viateur / Casgrain;3703
Vendôme / Sherbrooke;3656
Métro Lionel-Groulx (Saint-Jacques/ Atwater);3647
Métro du Collège (Cartier / Décarie);3615
Chabot / Laurier;3607
Chabot / Laurier;3607
Monk / Biencourt;3579
Monk / Biencourt;3579
2e avenue / Jean-Rivard;3572
Durocher / St-Viateur;3565
LaSalle / 37e avenue;3548
Parc Outremont (Bloomfield / Elmwood);3548
St-Joseph / 8e avenue Lachine;3531
Wolfe / de la Gauchetière;3514
Mansfield / Cathcart;3471
Notre-Dame-de-Grâce / Westmount;3321
Clark / St-Zotique;3289
Egan / Laurendeau;3254
Villeneuve / St-Denis;3250
Villeneuve / St-Denis;3250
de Maisonneuve / Berri;3247
Des Érables / Villeray;3224
Des Érables / Villeray;3224
St-Henri / Notre-Dame;3204
St-Henri / Notre-Dame;3204
Parc Loyola (Somerled / Doherty);3182
Chambord / de Castelnau;3168
Letourneux / Hochelaga;3147
Letourneux / Hochelaga;3147
LaSalle / 80e avenue;3144
des Jockeys / Décarie;3121
Parc Georges St-Pierre (Oxford / Upper Lachine);3113
Parc Georges St-Pierre (Oxford / Upper Lachine);3113
Guizot / St-Laurent;3109
de Lisieux / Jean-Talon;3103
Sainte-Catherine / Parthenais;3102
Garnier / Everett;3093
Everett / Garnier;3034
Glengarry / Graham;3004
de St-Firmin / Fleury;2995
Bloomfied / St-Viateur;2968
Bloomfied / St-Viateur;2968
Liébert / Hochelaga;2918
Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan);2889
Boyer / Rachel;2870
Péloquin / Fleury;2870
Péloquin / Fleury;2870
Wolfe / Ste-Catherine;2845
Wolfe / Ste-Catherine;2845
Marquette / Jean-Talon;2760
de l'Eglise / St-Germain;2718
Ste-Émilie / St-Rémi;2700
Ste-Émilie / St-Rémi;2700
Parc Champdoré (Champdoré / de Lille);2690
Parc Champdoré (Champdoré / de Lille);2690
Lusignan / St-Jacques;2678
de Mentana / St-Joseph;2668
de Mentana / St-Joseph;2668
Parc Van Horne (de la Peltrie / de Westbury);2656
Beurling / Godin;2633
Beurling / Godin;2633
Louis-Hémon / Villeray;2625
CCI Outremont (Dollard / Durcharme);2612
Maguire / Saint-Dominique;2607
Maguire / Saint-Dominique;2607
Stinson / Montpellier;2586
Stinson / Montpellier;2586
Bélanger / St-Laurent;2566
Bélanger / St-Laurent;2566
Hutchison/ Van Horne;2500
Hutchison/ Van Horne;2500
Stuart / St-Viateur;2415
de Normanville / Beaubien;2368
de Normanville / Beaubien;2368
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury);2360
Laforest / Dudemaine;2329
Guizot / Clark;2294
Gloria / Dollard;2286
Gloria / Dollard;2286
Dandurand / de Lorimier;2247
REV (Souligny / Desmarteau);2224
REV (Souligny / Desmarteau);2224
Parc des Hirondelles (Fleury / André-Jobin);2201
Parc Lalancette (de Rouen / Valois);2164
Parc Lalancette (de Rouen / Valois);2164
de Kent / Victoria;2113
Métro Cartier;2112
Chomedey / Lincoln;2074
Dorion / Sherbrooke;2039
Dorion / Sherbrooke;2039
O'Brien / Poirier;2007
Sanguinet / Sainte-Catherine;1950
Sanguinet / Sainte-Catherine;1950
de Grosbois / Duchesneau;1941
de Grosbois / Duchesneau;1941
Bishop / de Maisonneuve;1935
Bishop / de Maisonneuve;1935
Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont);1926
Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont);1926
Lapierre / Serge;1924
Lapierre / Serge;1924
René-Lévesque / Papineau;1817
Travaux publics LaSalle (Cordner / Léger);1806
Travaux publics LaSalle (Cordner / Léger);1806
Parc Georges St-Pierre (Upper Lachine / Oxford);1787
Michelet / Jean-Talon;1784
Thimens / Alexis-Nihon;1774
Sicard / Adam;1773
Sicard / Adam;1773
Notre-Dame / Guy;1765
Hôpital Sacré-Coeur (Forbes);1763
Métro Montmorency;1706
CIUSSS (du Trianon / Pierre-de-Coubertin);1690
8e avenue / Everett;1663
8e avenue / Everett;1663
de Versailles / St-Jacques;1653
de Versailles / St-Jacques;1653
Notre-Dame / Murray;1652
des Ormeaux / de Grosbois;1615
Cégep André-Laurendeau (Lapierre);1597
Ste-Catherine / Sanguinet;1564
Ste-Catherine / Sanguinet;1564
Alfred Laliberté / de Poutrincourt;1557
de Côme / Jean-Talon;1555
de Côme / Jean-Talon;1555
Querbes / Ball;1553
2e avenue / Centrale;1541
2e avenue / Centrale;1541
Cégep André-Laurendeau;1533
Métro Viau (Viau / Pierre-de-Coubertin);1527
Métro Viau (Viau / Pierre-de-Coubertin);1527
CHSLD St-Michel (8e avenue / Jarry);1521
Dumesnil / Bélanger;1489
Robert-Bourassa / de Maisonneuve;1471
De Lanaudière / du Mont-Royal;1444
De Lanaudière / du Mont-Royal;1444
Collège Édouard-Montpetit (de Gentilly / de Normandie);1402
Parc Félix-Leclerc (François-Boivin / St-Zotique);1381
Parc St-Louis (St-Joseph / 34e avenue);1334
Parc St-Louis (St-Joseph / 34e avenue);1334
de Châteauguay / Ropery;1332
de Châteauguay / Ropery;1332
Aréna Chaumont (Chaumont / des Ormeaux);1329
Robin / de la Visitation;1327
Champdoré / de Lorimier;1320
Champdoré / de Lorimier;1320
Jeanne-Mance / Bernard;1288
Métro St-Laurent 2 ( de Maisonneuve / St-Laurent);1281
Everett / 8e avenue;1274
François-Boivin / Bélanger;1262
Bossuet / Sherbrooke;1260
Parthenais / Ste-Catherine;1229
Legrand / Cartier;1223
Monk / Jacques-Hertel;1212
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);1200
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);1200
Parc Kirkland (des Érables / Boyer);1187
Sainte-Catherine / Guy;1159
Sainte-Catherine / Guy;1159
Bibliothèque du Boisé (Thimens / Todd);1146
Monk / de Biencourt;1126
Monk / de Biencourt;1126
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard);1125
Métro Snowdon (Dornal / Westbury);1117
Bassin olympique (Chemin du Chenal le Moyne);1070
Bassin olympique (Chemin du Chenal le Moyne);1070
St-Joseph / 21e avenue Lachine;1066
Centre des loisirs (Tassé / Grenet);1063
Parc Reine-Élizabeth (Penniston / Crawford);1040
Sabrevois / des Récollets;1034
Parc du Bois-Franc (de l'Équateur / des Andes);1032
Parc Painter (Marcotte / Quenneville);1029
Fleury / de St-Firmin;1023
Northcliffe / Notre-Dame-de-Grâce;1022
Northcliffe / Notre-Dame-de-Grâce;1022
Beaudet / Marcel-Laurin;1002
Parc Turin (Chambord / Jean-Talon);981
Parc du Pélican (Laurier/ 2e avenue);981
Parc du Pélican (Laurier/ 2e avenue);981
Parc LaSalle (10e avenue / Victoria);971
Notre-Dame / Liébert;966
St-Charles / Grant;944
Parc de Beauséjour (Gouin / Henri-d'Arles);925
St-Joseph Lachine / 21e avenue;921
Parc Highlands (Highlands / LaSalle);919
Ste-Croix / Tassé;914
Duchesneau / de Marseille;905
Métro Lionel-Groulx (Walker / Saint-Jacques);899
Métro Lionel-Groulx (Walker / Saint-Jacques);899
Parc Chamberland (Dorais / de l'Église);889
Terminus Newman (Airlie / Lafleur);856
Terminus Newman (Airlie / Lafleur);856
Parc Outremont (Bloomfield / St-Viateur);855
Place Longueuil;853
Parc Wilfrid-Bastien (Lacordaire / des Galets);801
Robin / 15e rue;786
Parc Hébert (Provencher / Buies);781
Parc Hébert (Provencher / Buies);781
de Belleville / Fleury;772
Parc d'Antioche (Place d'Antioche / St-Zotique);761
St-Charles / Montarville;732
Parc Summerlea (53e avenue / St-Joseph);725
Parc St-Claude (7e avenue / 8e rue);724
Mozart / Casgrain;722
Mozart / Casgrain;722
St-Jean-Baptiste / René-Lévesque;719
Parc Joseph-Robin (18e avenue / Everett);707
Parc Joseph-Robin (18e avenue / Everett);707
Parc Ottawa (de Belleville / Fleury);681
Ateliers municipaux de St-Laurent (Cavendish / Poirier);675
St-Charles / St-Sylvestre;659
Fabrik8 (Waverly / Jean-Talon);643
Fabrik8 (Waverly / Jean-Talon);643
Parc Stoney-Point (St-Joseph / 47e avenue);625
du Souvenir / Chomedey;615
Bishop/ René-Lévesque;610
de l'Hôtel-de-Ville / St-Joseph;603
