J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;0;0;0;0;0;419;325;0;4 Ave & 26 St
0;0;0;0;0;0;0;0;0;1814;1187;0;4 Ave & 3 St
0;0;0;0;0;0;0;0;0;1899;1297;0;4 Ave & 9 St
0;0;0;0;0;0;0;0;0;6348;5547;0;4 Ave & E 12 St
0;0;0;0;0;0;0;0;0;285;125;0;4 Ave & Shore Road Dr
0;0;0;0;0;0;0;0;0;823;583;0;40 Ave & 9 St
0;0;0;0;0;0;0;0;0;604;663;0;40 Ave & Crescent St
0;0;0;0;0;0;0;0;0;621;674;0;40 St & Queens Blvd
0;0;0;0;0;0;0;0;0;120;90;0;41 Ave & 67 St
0;0;0;0;0;0;0;0;0;80;111;0;41 St & 3 Ave
0;0;0;0;0;0;0;0;0;560;389;0;41 St & 4 Ave
0;0;0;0;0;0;0;0;0;423;448;0;42 Pl & Northern Blvd
0;0;0;0;0;0;0;0;0;172;79;0;42 St & 1 Ave
0;0;0;0;0;0;0;0;0;418;382;0;43 Ave & 40 St
0;0;0;0;0;0;0;0;0;610;595;0;43 Ave & 42 St
0;0;0;0;0;0;0;0;0;533;406;0;43 Ave & 47 St
0;0;0;0;0;0;0;0;0;240;263;0;43 St & 23 Ave
0;0;0;0;0;0;0;0;0;343;350;0;43 St & 35 Ave
0;0;0;0;0;0;0;0;0;104;119;0;43 St & 37 Ave
0;0;0;0;0;0;0;0;0;430;431;0;43 St & 50 Ave
0;0;0;0;0;0;0;0;0;692;739;0;43 St & Broadway
0;0;0;0;0;0;0;0;0;580;461;0;43 St & Skillman Ave
0;0;0;0;0;0;0;0;0;2348;1856;0;44 Dr & Jackson Ave
0;0;0;0;0;0;0;0;0;129;78;0;44 St & 2 Ave
0;0;0;0;0;0;0;0;0;159;148;0;44 St & 3 Ave
0;0;0;0;0;0;0;0;0;507;409;0;44 St & 48 Ave
0;0;0;0;0;0;0;0;0;478;416;0;44 St & 6 Ave
0;0;0;0;0;0;0;0;0;365;314;0;44 St & Greenpoint Ave
0;0;0;0;0;0;0;0;0;1569;1400;0;45 Ave & 21 St
0;0;0;0;0;0;0;0;0;1067;911;0;45 Rd & 11 St
0;0;0;0;0;0;0;0;0;285;419;0;45 St & 4 Ave
0;0;0;0;0;0;0;0;0;2625;2260;0;46 Ave & 5 St
0;0;0;0;0;0;0;0;0;314;231;0;46 St & 25 Ave
0;0;0;0;0;0;0;0;0;420;374;0;46 St & 28 Ave
0;0;0;0;0;0;0;0;0;387;294;0;46 St & 30 Rd
0;0;0;0;0;0;0;0;0;369;180;0;46 St & 6 Ave
0;0;0;0;0;0;0;0;0;440;368;0;46 St & 7 Ave
0;0;0;0;0;0;0;0;0;619;557;0;46 St & Queens Blvd
0;0;0;0;0;0;0;0;0;704;738;0;47 Ave & 31 St
0;0;0;0;0;0;0;0;0;221;209;0;47 Ave & 48 St
0;0;0;0;0;0;0;0;0;173;170;0;47 Ave & Skillman Ave
0;0;0;0;0;0;0;0;0;122;119;0;47 St & 3 Ave
0;0;0;0;0;0;0;0;0;268;311;0;48 Ave & 37 St
0;0;0;0;0;0;0;0;0;594;480;0;48 Ave & 41 St
0;0;0;0;0;0;0;0;0;731;628;0;48 Ave & 5 St
0;0;0;0;0;0;0;0;0;136;147;0;48 St & 2 Ave
0;0;0;0;0;0;0;0;0;497;373;0;48 St & 37 Ave
0;0;0;0;0;0;0;0;0;345;318;0;48 St & 5 Ave
0;0;0;0;0;0;0;0;0;251;237;0;48 St & 50 Ave
0;0;0;0;0;0;0;0;0;237;188;0;48 St & Barnett Ave
0;0;0;0;0;0;0;0;0;905;786;0;48 St & Broadway
0;0;0;0;0;0;0;0;0;447;435;0;48 St & Skillman Ave
0;0;0;0;0;0;0;0;0;874;691;0;49 Ave & 21 St
0;0;0;0;0;0;0;0;0;224;242;0;49 St & 25 Ave
0;0;0;0;0;0;0;0;0;425;393;0;49 St & 31 Ave
0;0;0;0;0;0;0;0;0;909;751;0;5 Av & W 139 St
0;0;0;0;0;0;0;0;0;2675;2263;0;5 Ave & 3 St
0;0;0;0;0;0;0;0;0;360;333;0;5 Ave & 37 St
0;0;0;0;0;0;0;0;0;681;543;0;5 Ave & 41 St
0;0;0;0;0;0;0;0;0;498;366;0;5 Ave & 66 St
0;0;0;0;0;0;0;0;0;3444;1062;0;5 Ave & E 103 St
0;0;0;0;0;0;0;0;0;713;487;0;5 Ave & E 135 St
0;0;0;0;0;0;0;0;0;4995;4094;0;5 Ave & E 29 St
0;0;0;0;0;0;0;0;0;2069;3210;0;5 Ave & E 63 St
0;0;0;0;0;0;0;0;0;6035;5236;0;5 Ave & E 72 St
0;0;0;0;0;0;0;0;0;4935;3356;0;5 Ave & E 78 St
0;0;0;0;0;0;0;0;0;5068;3816;0;5 Ave & E 87 St
0;0;0;0;0;0;0;0;0;3605;2479;0;5 Ave & E 93 St
0;0;0;0;0;0;0;0;0;1388;941;0;5 Ave & W 126 St
0;0;0;0;0;0;0;0;0;1181;152;0;5 Ave & W 131 St
0;0;0;0;0;0;0;0;0;579;450;0;5 St & 51 Ave
0;0;0;0;0;0;0;0;0;1200;884;0;5 St & 6 Ave
0;0;0;0;0;0;0;0;0;858;723;0;5 St & Market St
0;0;0;0;0;0;0;0;0;385;299;0;50 St & 30 Ave
0;0;0;0;0;0;0;0;0;206;90;0;50 St & 7 Ave
0;0;0;0;0;0;0;0;0;416;313;0;50 St & Barnett Ave
0;0;0;0;0;0;0;0;0;435;392;0;50 St & Northern Blvd
0;0;0;0;0;0;0;0;0;505;407;0;51 St & 43 Ave
0;0;0;0;0;0;0;0;0;382;353;0;51 St & Hobart St
0;0;0;0;0;0;0;0;0;115;66;0;51 St & Queens Blvd
0;0;0;0;0;0;0;0;0;69;87;0;52 St & 1 Ave
0;0;0;0;0;0;0;0;0;192;112;0;52 St & 6 Ave
0;0;0;0;0;0;0;0;0;285;257;0;53 St & 2 Ave
0;0;0;0;0;0;0;0;0;794;644;0;53 St & 4 Ave
0;0;0;0;0;0;0;0;0;295;192;0;53 St & 5 Ave
0;0;0;0;0;0;0;0;0;218;272;0;53 St & Roosevelt Ave
0;0;0;0;0;0;0;0;0;74;74;0;54 St & 37 Ave
0;0;0;0;0;0;0;0;0;158;147;0;55 St & 5 Ave
0;0;0;0;0;0;0;0;0;315;235;0;55 St & 7 Ave
0;0;0;0;0;0;0;0;0;160;168;0;55 St & Northern Blvd
0;0;0;0;0;0;0;0;0;204;170;0;57 St & 1 Ave
