Station;RoundingTrips
Cégep André-Laurendeau;1169
Métro Bonaventure (de la Gauchetière / de la Cathédrale);1159
Métro du Collège (Cartier / Décarie);1157
Cartier / Dandurand;1152
Chabanel / du Parc;1146
Ateliers municipaux de St-Laurent (Cavendish / Poirier);1141
Louis-Hébert / Bélanger;1139
de Lanaudière / Bélanger;1138
Fortune / Wellington;1138
Rivier / Davidson;1133
Place du Commerce;1128
CHSLD Robert Cliche (de Bellechasse / 16e avenue);1123
Bel Air / St-Antoine;1109
Milton / Clark;1107
Beaudet / Marcel-Laurin;1102
Chapleau / du Mont-Royal;1099
de Kent / de la Côte-des-Neiges;1099
de la Cathédrale / René-Lévesque;1099
Guilbault / Clark;1085
Clark / Prince-Arthur;1083
Louis-Hémon / Jean-Talon;1078
Prince-Arthur / St-Urbain;1072
Marmier;1071
Soeurs-Grises / Margueritte d'Youville;1066
2e avenue / Jean-Rivard;1063
Hôpital général juif (de la Côte Ste-Catherine / Légaré);1050
de la Commune / Berri;1046
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);1042
Mansfield / Ste-Catherine;1042
de Soissons / de Darlington;1040
Cypress / Peel;1038
41e avenue / Rosemont;1034
Notre-Dame-de-Grâce / Décarie;1033
St-André / Ste-Catherine;1029
Alfred Laliberté / de Poutrincourt;1028
Métro Beaudry ( Beaudry / Ste-Catherine);1028
16e avenue / Beaubien;1026
Fleury / André-Jobin;1026
Parc d'Antioche ( Place d'Antioche / St-Zotique);1023
Parc Eusèbe-Ménard (Gouin / St-Vital);1023
Parc Jean-Drapeau (Chemin Macdonald);1021
29e avenue / St-Zotique;1010
10e avenue / Masson;1007
Poupart / Ste-Catherine;1007
University / Milton;1001
des Récollets / McGill;995
Gare St-Michel / Montréal-Nord (Pie-IX / 56e);995
de Bordeaux / Masson;989
Gilford / de Brébeuf;989
Tupper / du Fort;989
Metcalfe / de Maisonneuve;975
Gagne / LaSalle;973
Métro de Castelnau (de Castelnau / St-Laurent);970
Henri-Julien / de Castelnau;967
Quai de la navette fluviale;967
Graham / Brookfield;962
5e avenue / Rosemont;958
Letourneaux / Ste-Catherine;943
de la Roche / Bélanger;940
St-Mathieu / Tupper;938
Gilford / de Lanaudière;934
de Kent / Victoria;929
Ste-Famille / Sherbrooke;927
Laval / du Mont-Royal;923
McKenna / Édouard-Montpetit;923
15e avenue / Masson;920
Thimens / Alexis-Nihon;919
de Bullion / du Mont-Royal;916
de Hampton / de Monkland;916
Wilderton  / Van Horne;914
Bennett / Pierre-de-Coubertin;910
St-Viateur / Casgrain;906
Beaudry / Ontario;904
Clark / Rachel;896
8e avenue / Saint-Joseph Lachine;894
du Parc-La Fontaine / Roy;887
de Mentana / St-Joseph;882
de l’hôtel de ville / Saint-Joseph;876
Ste-Croix / Tassé;876
Shearer / Centre;875
Édouard-Montpetit / de Stirling;874
Dorion / Sherbrooke;873
de Bellechasse / de St-Vallier;866
de Grenoble / de Cassis;865
Drolet / Jarry;864
Clark / Ontario;862
Parc Maurice Bélanger (Forest / de l'Hôtel-de-Ville);855
St-Mathieu / Sherbrooke;851
de Grosbois / Ducheneau;849
St-Maurice / Robert-Bourassa;849
d'Iberville / Fleury;844
Marie-Anne / de la Roche;843
de Chambly / Rachel;839
Notre-Dame / Gauvin;839
Place des Festivals ( du Président-Kennedy / de Bleury);835
Parc Nicolas-Tillemont (des Érables / Villeray);834
Jean-Brillant / de la Côte-des-Neiges;833
Aylmer / Prince-Arthur;830
Place du Village (St-Jean-Baptiste / Notre-Dame);827
St-Urbain / Beaubien;827
St-Charles / Montarville;824
la Fontaine / Alexandre-de-Sève;820
Métro St-Laurent (de Maisonneuve / St-Laurent);817
Parc Joseph-Robin (18e avenue / Everett);816
St-Dominique / Bernard;816
St-Viateur / St-Laurent;815
Villeray / St-Michel;815
Chabot / Villeray;809
Hutchison / des Pins;800
St-Dominique / Laurier;800
Georges-Vanier / Notre-Dame;797
Mairie d'arrondissement LaSalle (Dupras / Jeannette);796
Parc Père-Marquette (Chambord / Rosemont);795
de Bordeaux / Sherbrooke;791
Ropery / Augustin-Cantin;791
St-Dominique / St-Viateur;790
Gordon / Wellington;789
Laforest / Dudemaine;789
Mayfield / St-Martin O;788
Henri-Julien / de Bellechasse;786
Bossuet / Sherbrooke;785
de la Roche / Marie-Anne;785
de Maisonneuve / Mansfield (nord);785
Parc Beaubien Outremont (Stuart / St-Viateur);785
Place du Village-de-la-Pointe-aux-Trembles (St-Jean-Baptiste / Notre-Dame);783
Molson / Beaubien;781
Bloomfield / Bernard;778
Milton / Durocher;778
Bibliothèque du Boisé (Thimens / Todd);776
Métro Jolicoeur (de Sève / Drake);775
