Station;StartedTrips
5 Ave & E 78 St;4463
Lenox Ave & W 117 St;4447
Spruce St & Nassau St;4442
E 77 St & 3 Ave;4440
DeKalb Ave & Hudson Ave;4425
Bank St & Hudson St;4420
Central Park S & 6 Ave;4417
Old Slip & South St;4414
E 53 St & 3 Ave;4410
W 87 St & West End Ave;4390
W 48 St &  Rockefeller Plaza;4384
Central Park West & W 68 St;4363
E 3 St & 1 Ave;4359
Riverside Dr & W 82 St;4358
Lenox Ave & W 126 St;4357
Morton St & Washington St;4353
Grand St & Havemeyer St;4351
Pleasant Ave & E 116 St;4331
W 15 St & 10 Ave;4327
Atlantic Ave & Fort Greene Pl;4317
Leonard St & Church St;4298
W 17 St & 7 Ave;4294
E 80 St & 2 Ave;4292
Hope St & Union Ave;4292
E 89 St & 3 Ave;4284
W 110 St & Amsterdam Ave;4283
E 97 St & Madison Ave;4282
Meserole Ave & Manhattan Ave;4280
St James Pl & Oliver St;4251
E 91 St & Park Ave;4248
Willoughby Ave & Hall St;4242
E 35 St & Madison Ave;4227
W 40 St & 7 Ave;4206
E 72 St & Park Ave;4201
Plaza St East & Flatbush Ave;4162
E 68 St & 3 Ave;4161
Schermerhorn St & Hoyt St;4160
E 44 St & 2 Ave;4157
W 10 St & Washington St;4147
Lenox Ave & W 111 St;4142
5 Ave & 3 St;4119
Fulton St & William St;4092
W 82 St & Central Park West;4091
Adelphi St & Myrtle Ave;4087
E 75 St & 3 Ave;4076
West End Ave & W 78 St;4063
Cliff St & Fulton St;4052
Willoughby St & Fleet St;4033
Bedford Ave & Nassau Ave;4024
Rutgers St & Henry St;4013
India St & Manhattan Ave;4006
DeKalb Ave & Vanderbilt Ave;4002
E 88 St & Park Ave;4001
W 113 St & Broadway;3999
E 84 St & Park Ave;3994
E 65 St & 2 Ave;3988
W 74 St & Columbus Ave;3984
W 116 St & Broadway;3962
Montague St & Clinton St;3949
Carroll St & Smith St;3943
46 Ave & 5 St;3942
Jay St & Tech Pl;3940
Bergen St & Flatbush Ave;3934
Atlantic Ave & Furman St;3910
W 116 St & Amsterdam Ave;3909
5 Ave & E 93 St;3905
31 St & Newtown Ave;3894
Murray St\t& West St;3893
Madison Ave & E 99 St;3884
Ave D & E 8 St;3873
DeKalb Ave & S Portland Ave;3869
W 35 St & 8 Ave;3864
Emerson Pl & Myrtle Ave;3855
Catherine St & Monroe St;3849
E 47 St & 1 Ave;3846
Eastern Pkwy & Franklin Ave;3838
6 Ave & Walker St;3827
Albany St & Greenwich St;3824
Frederick Douglass Blvd & W 115 St;3805
10 St & 7 Ave;3800
W Broadway & W Houston St;3789
Hicks St & Montague St;3784
Flushing Ave & Vanderbilt Ave;3781
Greene St & Prince St;3781
Madison Ave & E 82 St;3779
Scholes St & Manhattan Ave;3762
Henry St & Atlantic Ave;3745
31 St & 23 Ave;3738
Fulton St & Waverly Ave;3735
Front St & Jay St;3730
Plaza St West & Flatbush Ave;3726
Reade St & Broadway;3723
Greenpoint Ave & Manhattan Ave;3722
Stagg St & Union Ave;3722
Jay St & York St;3712
Central Park W & W 103 St;3703
3 St & Prospect Park West;3684
E 60 St & York Ave;3683
W Broadway & Spring St;3681
Lexington Ave & E 111 St;3673
E 93 St & 2 Ave;3668
West End Ave & W 107 St;3661
W 111 St & 5 Ave;3642
Leonard St & Nassau Ave;3630
6 Ave & 9 St;3624
E 102 St & 1 Ave;3610
Warren St & W Broadway;3603
E 45 St & 3 Ave;3590
Montrose Ave & Bushwick Ave;3585
Columbia St & Rivington St;3581
Graham Ave & Grand St;3561
Huron St & Franklin St;3561
31 St & Broadway;3550
W 92 St & Broadway;3542
Douglass St & 3 Ave;3516
E 40 St & 5 Ave;3499
McGuinness Blvd & Eagle St;3497
Roebling St & N 4 St;3497
W 106 St & Amsterdam Ave;3493
Water St &  Fletcher St;3488
Metropolitan Ave & Meeker Ave;3482
John St & William St;3465
Madison St & Montgomery St;3465
Watts St & Greenwich St;3459
Nevins St & Schermerhorn St;3452
E 82 St & East End Ave;3451
Nassau Ave & Russell St;3445
Steinway St & Broadway;3437
Driggs Ave & N Henry St;3436
1 Ave & E 110 St;3430
Adam Clayton Powell Blvd & W 126 St;3423
S 4 St & Rodney St;3420
Monroe St & Bedford Ave;3412
Duffield St & Willoughby St;3390
Kingsland Ave & Nassau Ave;3387
E 51 St & Lexington Ave;3377
Washington St & Barrow St;3363
W 90 St & Amsterdam Ave;3352
44 Dr & Jackson Ave;3348
5 Ave & E 103 St;3347
Union Ave & N 12 St;3342
3 Ave & E 71 St;3337
Carroll St & 5 Ave;3320
Prospect Park West & 8 St;3312
Washington St & Laight St;3309
Market St & Cherry St;3295
Broadway & Battery Pl;3290
Bergen St & 4 Ave;3288
Peck Slip & South St;3287
3 Ave & E 72 St;3272
Jackson Ave & 46 Rd;3272
Flatbush Ave & Ocean Ave;3269
Devoe St & Lorimer St;3265
E 58 St & 1 Ave (NW Corner);3260
E 67 St & Park Ave;3255
South St & Gouverneur Ln;3215
E 43 St & 2 Ave;3211
West Broadway & Watts St;3210
West End Ave & W 94 St;3206
E 81 St & 3 Ave;3186
12 Ave & W 125 St;3184
E 106 St & Madison Ave;3176
Bialystoker Pl & Delancey St;3171
E 4 St & Ave B;3167
Grand Army Plaza & Plaza St West;3138
Water St & Main St;3133
Clinton St & Tillary St;3129
Lafayette Ave & St James Pl;3121
Bedford Ave & Bergen St;3109
Congress St & Clinton St;3106
Park Pl & Church St;3096
E 78 St & 2 Ave;3077
Riverside Dr & W 104 St;3077
Carlton Ave & Dean St;3075
Leonard St & Maujer St;3072
W 107 St & Columbus Ave;3065
South St & Whitehall St;3038
6 Ave & Canal St;3033
Garfield Pl & 8 Ave;3021
31 St & Ditmars Blvd;3012
Dean St & Franklin Ave;3006
Broadway & Roebling St;2995
Broad St & Bridge St;2956
Crescent St & 30 Ave;2950
E 68 St & Madison Ave;2949
Franklin St & W Broadway;2949
Broadway & W 37 St;2947
E 5 St & Cooper Sq;2945
Parade Pl & Crooke Ave;2935
Henry St & Degraw St;2927
N Moore St & Hudson St;2927
1 Ave & E 94 St;2912
Cherry St;2890
E 103 St & Lexington Ave;2889
Washington Ave & Park Ave;2888
Douglass St & 4 Ave;2886
Water St & Gouverneur Ln;2882
Classon Ave & St Marks Ave;2879
Carroll St & 6 Ave;2866
Sterling Pl & Bedford Ave;2863
3 Ave & Schermerhorn St;2856
Crescent St & Broadway;2855
Franklin Ave & St Marks Ave;2855
DeKalb Ave & Franklin Ave;2843
Clinton St & Union St;2841
W 35 St & Dyer Ave;2836
State St & Smith St;2833
Macon St & Nostrand Ave;2816
Adam Clayton Powell Blvd & W 123 St;2793
E 6 St & 2 Ave;2793
S Portland Ave & Hanson Pl;2793
Driggs Ave & Lorimer St;2782
Monroe St & Tompkins Ave;2775
Riverside Dr & W 91 St;2773
Market St & Henry St;2735
E 2 St & 2 Ave;2729
5 Ave & E 63 St;2726
Lexington Ave & Classon Ave;2721
Bayard St & Leonard St;2720
E 50 St & Park Ave;2717
Delancey St & Eldridge St;2709
President St & 4 Ave;2702
E 95 St & 3 Ave;2689
Center Blvd & 51 Ave;2675
Broadway & Morris St;2672
2 Ave & E 104 St;2666
4 Ave & 9 St;2659
2 Ave & E 99 St;2652
Church St & Worth St;2652
Myrtle Ave & Fleet Pl;2647
Clermont Ave & Lafayette Ave;2613
Sands St Gate;2607
South St & Pike St;2607
W 104 St & Amsterdam Ave;2601
Lafayette Ave & Classon Ave;2600
14 St & 5 Ave;2593
E 118 St & Madison Ave;2582
14 St & 7 Ave;2581
Albee Square W & Fulton St;2581
St Johns Pl & Washington Ave;2576
Sands St & Jay St;2569
27 St & Hunter St;2554
Prospect Pl & Underhill Ave;2554
28 St & 41 Ave;2550
Cumberland St & Lafayette Ave;2547
East End Ave & E 86 St;2539
Grand Ave & Bergen St;2537
Maiden Ln & Pearl St;2534
Stanton St & Mangin St;2527
4 Ave & 3 St;2522
45 Ave & 21 St;2519
E 81 St & Park Ave;2515
Pike St & Monroe St;2515
E 106 St & Lexington Ave;2505
Schermerhorn St & Court St (2);2504
E 31 St & 3 Ave;2502
Washington Park;2487
E 19 St & 3 Ave;2486
Adam Clayton Powell Blvd & W 118 St;2477
Union St & 4 Ave;2464
Bridge St & Water St;2452
Melrose Ave & E 150 St;2427
Kane St & Clinton St;2401
